Pot #,Genotype,Location,N_or_I,WSM?,Soil_p,Soil_d,Soil_t,Matched,Treatment,Position,Pods,Flowers,Nod_no,Nod_wt,Root_wt,Shoot_wt,Root:shoot,Nod:root,Shoot:nod
7,St. Aug-2,FL,I,1,,0,,,WSM,54,7,1,18,0.0028,0.0302,0.18,0.183333333,0.092715232,64.28571429
8,St. Aug-2,FL,I,1,,0,,,WSM,74,3,2,22,0.0027,0.0223,0.141,0.177304965,0.121076233,52.22222222
20,St. Aug-2,FL,I,0,0,1,1,1,2_dilute,82,,,0,0,0.0007,0.00038,1.842105263,0,0
21,St. Aug-2,FL,I,0,0,1,1,1,2_dilute,2,,,0,0,0.0014,0.003,0.466666667,0,0
22,St. Aug-2,FL,I,0,0,1,1,1,2_dilute,61,,,0,0,0.0008,0.0027,0.296296296,0,0
27,St. Aug-2,FL,I,1,0,1,1,1,2_diluteWSM,69,3,,3,0.0007,0.0094,0.0901,0.112097669,0.074468085,128.7142857
29,St. Aug-2,FL,I,1,0,1,1,1,2_diluteWSM,25,8,,10,0.0023,0.0326,0.2376,0.146885522,0.070552147,103.3043478
30,St. Aug-2,FL,I,1,0,1,1,1,2_diluteWSM,56,,,,0.0023,0.0237,0.277,0.093862816,0.097046414,120.4347826
48,St. Aug-2,FL,I,0,0,1,0,0,5_dilute,102,4,,7,0.0021,0.0153,0.1284,0.135514019,0.137254902,61.14285714
49,St. Aug-2,FL,I,1,0,1,0,0,5_diluteWSM,34,6,1,5,0.0009,0.0152,0.1815,0.088705234,0.059210526,201.6666667
50,St. Aug-2,FL,I,1,0,1,0,0,5_diluteWSM,120,10,1,16,0.0023,0.0336,0.2243,0.1600535,0.068452381,97.52173913
52,St. Aug-2,FL,I,1,0,1,0,0,5_diluteWSM,24,5,,7,0.0021,0.0177,0.1183,0.16737109,0.118644068,56.33333333
53,St. Aug-2,FL,I,1,0,1,0,0,5_diluteWSM,80,11,2,10,0.0044,0.0428,0.399,0.118295739,0.102803738,90.68181818
57,St. Aug-2,FL,I,1,1,2,0,0,5_concWSM,39,8,3,10,0.0026,0.0362,0.1971,0.196854389,0.071823204,75.80769231
58,St. Aug-2,FL,I,1,1,2,0,0,5_concWSM,45,2,9,18,0.0005,0.017,0.1582,0.110619469,0.029411765,316.4
60,St. Aug-2,FL,I,1,1,2,0,0,5_concWSM,37,,,11,0.0037,0.0182,0.2013,0.108792846,0.203296703,54.40540541
62,PI 493292,PT,N,0,,0,,,Buffer,17,,,0,0,0.0087,0.0072,1.208333333,0,0
64,PI 493292,PT,N,0,,0,,,Buffer,67,,,0,0,0.0048,0.01,0.48,0,0
67,PI 493292,PT,N,1,,0,,,WSM,104,,,,0.0086,0.0868,0.2077,0.459316322,0.099078341,24.15116279
68,PI 493292,PT,N,1,,0,,,WSM,105,1,,30,0.0056,0.1134,0.1699,0.700412007,0.049382716,30.33928571
70,PI 493292,PT,N,1,,0,,,WSM,115,9,,14,0.0093,0.0673,0.48,0.159583333,0.138187221,51.61290323
80,PI 493292,PT,N,0,0,1,1,0,2_dilute,27,,,0,0,0.0037,0.005,0.74,0,0
81,PI 493292,PT,N,0,0,1,1,0,2_dilute,46,,,0,0,0.009,0.0157,0.573248408,0,0
82,PI 493292,PT,N,0,0,1,1,0,2_dilute,83,,,0,0,0.0063,0.004,1.575,0,0
88,PI 493292,PT,N,1,0,1,1,0,2_diluteWSM,65,,,23,0.0109,0.1034,0.3505,0.326105563,0.105415861,32.1559633
89,PI 493292,PT,N,1,0,1,1,0,2_diluteWSM,29,18,1,30,0.008,0.1184,0.3669,0.34450804,0.067567568,45.8625
94,PI 493292,PT,N,1,1,2,1,0,2_concWSM,11,9,2,14,0.0023,0.0311,0.28,0.119285714,0.073954984,121.7391304
95,PI 493292,PT,N,1,1,2,1,0,2_concWSM,55,10,1,18,0.00286,0.048,0.1997,0.254682023,0.059583333,69.82517483
96,PI 493292,PT,N,1,1,2,1,0,2_concWSM,110,7,,19,0.0051,0.0449,0.3333,0.150015002,0.113585746,65.35294118
108,PI 493292,PT,N,0,0,1,0,1,5_dilute,93,6,,9,0.0036,0.0232,0.1235,0.217004049,0.155172414,34.30555556
109,PI 493292,PT,N,1,0,1,0,1,5_diluteWSM,41,,,,0.008,0.102,0.517,0.212765957,0.078431373,64.625
110,PI 493292,PT,N,1,0,1,0,1,5_diluteWSM,103,4,,18,0.0032,0.045,0.3922,0.122896481,0.071111111,122.5625
111,PI 493292,PT,N,1,0,1,0,1,5_diluteWSM,10,4,3,42,0.0076,0.0754,0.3942,0.210553019,0.100795756,51.86842105
113,PI 493292,PT,N,1,0,1,0,1,5_diluteWSM,5,11,6,26,0.0055,0.0787,0.718,0.117270195,0.069885642,130.5454545
114,PI 493292,PT,N,1,0,1,0,1,5_diluteWSM,118,9,,28,0.0044,0.0565,0.3477,0.175150992,0.077876106,79.02272727
1,St. Aug-2,FL,I,0,,0,,,Buffer,18,,,,0.0003,0.0003,0.002,0.15,0,0
2,St. Aug-2,FL,I,0,,0,,,Buffer,98,,1,,0.0203,0.0203,0.0605,0.33553719,0,0
3,St. Aug-2,FL,I,0,,0,,,Buffer,119,,,,0.0035,0.0035,0.0043,0.813953488,0,0
5,St. Aug-2,FL,I,0,,0,,,Buffer,117,,,,0.0023,0.0023,0.0029,0.793103448,0,0
