Pot,Genotype,Habitat,Range,Position,Trea,Inoculate,SoilConc,SoilLocation,Match,DeadOrAlive,WeekstoDie,NoduleNum,NoduleWeight,PodNum,FlowerNum,Treatment,SoilSplitTrt
1,StAug2,FL,Invasive,18,1,Buffer,none,none,NA,Alive,NA,2,0.0021,0,0,Control,Control
2,StAug2,FL,Invasive,98,1,Buffer,none,none,NA,Alive,NA,0,NA,0,1,Control,Control
3,StAug2,FL,Invasive,119,1,Buffer,none,none,NA,Alive,NA,0,NA,0,0,Control,Control
5,StAug2,FL,Invasive,117,1,Buffer,none,none,NA,Alive,NA,0,NA,0,0,Control,Control
7,StAug2,FL,Invasive,54,2,WSM,none,none,NA,Alive,NA,18,0.0028,7,1,Rhizobia,Rhizobia
8,StAug2,FL,Invasive,74,2,WSM,none,none,NA,Alive,NA,22,0.0027,3,2,Rhizobia,Rhizobia
20,StAug2,FL,Invasive,82,4,Buffer,low,FL,Same,Alive,NA,0,NA,0,0,Soil,Soil.FL
21,StAug2,FL,Invasive,2,4,Buffer,low,FL,Same,Alive,NA,0,NA,0,0,Soil,Soil.FL
22,StAug2,FL,Invasive,61,4,Buffer,low,FL,Same,Alive,NA,0,NA,0,0,Soil,Soil.FL
27,StAug2,FL,Invasive,69,5,WSM,low,FL,Same,Alive,NA,3,0.0007,3,0,Soil_Rhizobia,Soil_Rhizobia.FL
29,StAug2,FL,Invasive,25,5,WSM,low,FL,Same,Alive,NA,10,0.0023,8,0,Soil_Rhizobia,Soil_Rhizobia.FL
30,StAug2,FL,Invasive,56,5,WSM,low,FL,Same,Alive,NA,12,0.0023,11,1,Soil_Rhizobia,Soil_Rhizobia.FL
48,StAug2,FL,Invasive,102,8,Buffer,low,PT,Different,Alive,NA,7,0.0021,4,0,Soil,Soil.Pt
49,StAug2,FL,Invasive,34,9,WSM,low,PT,Different,Alive,NA,5,0.0009,6,1,Soil_Rhizobia,Soil_Rhizobial.Pt
50,StAug2,FL,Invasive,120,9,WSM,low,PT,Different,Alive,NA,16,0.0023,10,1,Soil_Rhizobia,Soil_Rhizobial.Pt
52,StAug2,FL,Invasive,24,9,WSM,low,PT,Different,Alive,NA,7,0.0021,5,0,Soil_Rhizobia,Soil_Rhizobial.Pt
53,StAug2,FL,Invasive,80,9,WSM,low,PT,Different,Alive,NA,10,0.0044,11,2,Soil_Rhizobia,Soil_Rhizobial.Pt
57,StAug2,FL,Invasive,39,10,WSM,high,PT,Different,Alive,NA,10,0.0026,8,3,Soil_Rhizobia,Soil_Rhizobial.Pt
58,StAug2,FL,Invasive,45,10,WSM,high,PT,Different,Alive,NA,18,0.0005,5,0,Soil_Rhizobia,Soil_Rhizobial.Pt
60,StAug2,FL,Invasive,37,10,WSM,high,PT,Different,Alive,NA,11,0.0037,9,2,Soil_Rhizobia,Soil_Rhizobial.Pt
62,PI493292,PT, Native,17,1,Buffer,none,none,NA,Alive,NA,0,NA,0,0,Control,Control
64,PI493292,PT, Native,67,1,Buffer,none,none,NA,Alive,NA,0,NA,0,0,Control,Control
67,PI493292,PT, Native,104,2,WSM,none,none,NA,Alive,NA,29,0.0086,0,5,Rhizobia,Rhizobia
68,PI493292,PT, Native,105,2,WSM,none,none,NA,Alive,NA,30,0.0056,1,0,Rhizobia,Rhizobia
70,PI493292,PT, Native,115,2,WSM,none,none,NA,Alive,NA,14,0.0093,9,0,Rhizobia,Rhizobia
80,PI493292,PT, Native,27,4,Buffer,low,FL,Different,Alive,NA,0,NA,0,0,Soil,Soil.FL
81,PI493292,PT, Native,46,4,Buffer,low,FL,Different,Alive,NA,0,NA,0,0,Soil,Soil.FL
82,PI493292,PT, Native,83,4,Buffer,low,FL,Different,Alive,NA,0,NA,0,0,Soil,Soil.FL
88,PI493292,PT, Native,65,5,WSM,low,FL,Different,Alive,NA,23,0.0109,0,8,Soil_Rhizobia,Soil_Rhizobia.FL
89,PI493292,PT, Native,29,5,WSM,low,FL,Different,Alive,NA,30,0.008,1,18,Soil_Rhizobia,Soil_Rhizobia.FL
94,PI493292,PT, Native,11,6,WSM,high,FL,Different,Alive,NA,14,0.0023,9,2,Soil_Rhizobia,Soil_Rhizobia.FL
95,PI493292,PT, Native,55,6,WSM,high,FL,Different,Alive,NA,18,0.0026,10,1,Soil_Rhizobia,Soil_Rhizobia.FL
96,PI493292,PT, Native,110,6,WSM,high,FL,Different,Alive,NA,19,0.0051,7,0,Soil_Rhizobia,Soil_Rhizobia.FL
108,PI493292,PT, Native,93,8,Buffer,low,PT,Same,Alive,NA,9,0.0036,6,0,Soil,Soil.Pt
109,PI493292,PT, Native,41,9,WSM,low,PT,Same,Alive,NA,38,0.008,9,0,Soil_Rhizobia,Soil_Rhizobial.Pt
110,PI493292,PT, Native,103,9,WSM,low,PT,Same,Alive,NA,18,0.0032,4,0,Soil_Rhizobia,Soil_Rhizobial.Pt
111,PI493292,PT, Native,10,9,WSM,low,PT,Same,Alive,NA,42,0.0076,4,3,Soil_Rhizobia,Soil_Rhizobial.Pt
113,PI493292,PT, Native,5,9,WSM,low,PT,Same,Alive,NA,26,0.0055,11,6,Soil_Rhizobia,Soil_Rhizobial.Pt
114,PI493292,PT, Native,118,9,WSM,low,PT,Same,Alive,NA,28,0.0044,9,0,Soil_Rhizobia,Soil_Rhizobial.Pt
