Pot,Genotype,Habitat,Range,Position,Treatment,Inoculate,SoilConc,SoilLocation,Match,TissueType,Weight
1,StAug2,FL,Invasive,18,1,Buffer,none,none,NA,Root,0.0003
2,StAug2,FL,Invasive,98,1,Buffer,none,none,NA,Root,0.0203
3,StAug2,FL,Invasive,119,1,Buffer,none,none,NA,Root,0.0035
5,StAug2,FL,Invasive,117,1,Buffer,none,none,NA,Root,0.0023
7,StAug2,FL,Invasive,54,2,WSM,none,none,NA,Root,0.0302
8,StAug2,FL,Invasive,74,2,WSM,none,none,NA,Root,0.0223
20,StAug2,FL,Invasive,82,4,Buffer,low,FL,Same,Root,0.0007
21,StAug2,FL,Invasive,2,4,Buffer,low,FL,Same,Root,0.0014
22,StAug2,FL,Invasive,61,4,Buffer,low,FL,Same,Root,0.0008
27,StAug2,FL,Invasive,69,5,WSM,low,FL,Same,Root,0.0094
29,StAug2,FL,Invasive,25,5,WSM,low,FL,Same,Root,0.0326
30,StAug2,FL,Invasive,56,5,WSM,low,FL,Same,Root,0.0237
48,StAug2,FL,Invasive,102,8,Buffer,low,PT,Different,Root,0.0153
49,StAug2,FL,Invasive,34,9,WSM,low,PT,Different,Root,0.0152
50,StAug2,FL,Invasive,120,9,WSM,low,PT,Different,Root,0.0336
52,StAug2,FL,Invasive,24,9,WSM,low,PT,Different,Root,0.0177
53,StAug2,FL,Invasive,80,9,WSM,low,PT,Different,Root,0.0428
57,StAug2,FL,Invasive,39,10,WSM,high,PT,Different,Root,0.0362
58,StAug2,FL,Invasive,45,10,WSM,high,PT,Different,Root,0.017
60,StAug2,FL,Invasive,37,10,WSM,high,PT,Different,Root,0.0182
62,PI493292,PT, Native,17,1,Buffer,none,none,NA,Root,0.0087
64,PI493292,PT, Native,67,1,Buffer,none,none,NA,Root,0.0048
67,PI493292,PT, Native,104,2,WSM,none,none,NA,Root,0.0868
68,PI493292,PT, Native,105,2,WSM,none,none,NA,Root,0.1134
70,PI493292,PT, Native,115,2,WSM,none,none,NA,Root,0.0673
80,PI493292,PT, Native,27,4,Buffer,low,FL,Different,Root,0.0037
81,PI493292,PT, Native,46,4,Buffer,low,FL,Different,Root,0.009
82,PI493292,PT, Native,83,4,Buffer,low,FL,Different,Root,0.0063
88,PI493292,PT, Native,65,5,WSM,low,FL,Different,Root,0.1034
89,PI493292,PT, Native,29,5,WSM,low,FL,Different,Root,0.1184
94,PI493292,PT, Native,11,6,WSM,high,FL,Different,Root,0.0311
95,PI493292,PT, Native,55,6,WSM,high,FL,Different,Root,0.048
96,PI493292,PT, Native,110,6,WSM,high,FL,Different,Root,0.0449
108,PI493292,PT, Native,93,8,Buffer,low,PT,Same,Root,0.0232
109,PI493292,PT, Native,41,9,WSM,low,PT,Same,Root,0.102
110,PI493292,PT, Native,103,9,WSM,low,PT,Same,Root,0.045
111,PI493292,PT, Native,10,9,WSM,low,PT,Same,Root,0.0754
113,PI493292,PT, Native,5,9,WSM,low,PT,Same,Root,0.0787
114,PI493292,PT, Native,118,9,WSM,low,PT,Same,Root,0.0565
