Pot,Genotype,Habitat,Range,Position,Treatment,Inoculate,SoilConc,SoilLocation,Match,TissueType,Weight,
1,StAug2,FL,Invasive,18,1,Buffer,none,none,NA,Shoot,0.0002,
2,StAug2,FL,Invasive,98,1,Buffer,none,none,NA,Shoot,0.0605,
3,StAug2,FL,Invasive,119,1,Buffer,none,none,NA,Shoot,0.0042,
5,StAug2,FL,Invasive,117,1,Buffer,none,none,NA,Shoot,0.0029,
7,StAug2,FL,Invasive,54,2,WSM,none,none,NA,Shoot,0.18,
8,StAug2,FL,Invasive,74,2,WSM,none,none,NA,Shoot,0.141,
20,StAug2,FL,Invasive,82,4,Buffer,low,FL,Same,Shoot,0.0038,
21,StAug2,FL,Invasive,2,4,Buffer,low,FL,Same,Shoot,0.003,
22,StAug2,FL,Invasive,61,4,Buffer,low,FL,Same,Shoot,0.0027,
27,StAug2,FL,Invasive,69,5,WSM,low,FL,Same,Shoot,0.0907,
29,StAug2,FL,Invasive,25,5,WSM,low,FL,Same,Shoot,0.2378,
30,StAug2,FL,Invasive,56,5,WSM,low,FL,Same,Shoot,0.277,
48,StAug2,FL,Invasive,102,8,Buffer,low,PT,Different,Shoot,0.1284,
49,StAug2,FL,Invasive,34,9,WSM,low,PT,Different,Shoot,0.1815,
50,StAug2,FL,Invasive,120,9,WSM,low,PT,Different,Shoot,0.2243,
52,StAug2,FL,Invasive,24,9,WSM,low,PT,Different,Shoot,0.1183,
53,StAug2,FL,Invasive,80,9,WSM,low,PT,Different,Shoot,0.399,
57,StAug2,FL,Invasive,39,10,WSM,high,PT,Different,Shoot,0.1971,
58,StAug2,FL,Invasive,45,10,WSM,high,PT,Different,Shoot,0.1582,
60,StAug2,FL,Invasive,37,10,WSM,high,PT,Different,Shoot,0.2013,
62,PI493292,PT, Native,17,1,Buffer,none,none,NA,Shoot,0.0072,
64,PI493292,PT, Native,67,1,Buffer,none,none,NA,Shoot,0.01,
67,PI493292,PT, Native,104,2,WSM,none,none,NA,Shoot,0.2077,
68,PI493292,PT, Native,105,2,WSM,none,none,NA,Shoot,0.1699,
70,PI493292,PT, Native,115,2,WSM,none,none,NA,Shoot,0.48,
80,PI493292,PT, Native,27,4,Buffer,low,FL,Different,Shoot,0.005,
81,PI493292,PT, Native,46,4,Buffer,low,FL,Different,Shoot,0.0157,
82,PI493292,PT, Native,83,4,Buffer,low,FL,Different,Shoot,0.004,
88,PI493292,PT, Native,65,5,WSM,low,FL,Different,Shoot,0.3505,
89,PI493292,PT, Native,29,5,WSM,low,FL,Different,Shoot,0.3669,
94,PI493292,PT, Native,11,6,WSM,high,FL,Different,Shoot,0.28,
95,PI493292,PT, Native,55,6,WSM,high,FL,Different,Shoot,0.1997,
96,PI493292,PT, Native,110,6,WSM,high,FL,Different,Shoot,0.3333,
108,PI493292,PT, Native,93,8,Buffer,low,PT,Same,Shoot,0.1235,
109,PI493292,PT, Native,41,9,WSM,low,PT,Same,Shoot,0.517,
110,PI493292,PT, Native,103,9,WSM,low,PT,Same,Shoot,0.3922,
111,PI493292,PT, Native,10,9,WSM,low,PT,Same,Shoot,0.3942,
113,PI493292,PT, Native,5,9,WSM,low,PT,Same,Shoot,0.718,
114,PI493292,PT, Native,118,9,WSM,low,PT,Same,Shoot,0.3477,
