Pot,Genotype,Habitat,Range,Position,Treatment,Inoculate,SoilConc,SoilLocation,Match,DeadOrAlive,WeekstoDie
1,StAug2,FL,Invasive,18,1,Buffer,none,none,NA,Alive,NA
2,StAug2,FL,Invasive,98,1,Buffer,none,none,NA,Alive,NA
3,StAug2,FL,Invasive,119,1,Buffer,none,none,NA,Alive,NA
4,StAug2,FL,Invasive,94,1,Buffer,none,none,NA,Dead,1
5,StAug2,FL,Invasive,117,1,Buffer,none,none,NA,Alive,NA
6,StAug2,FL,Invasive,109,1,Buffer,none,none,NA,Dead,3
7,StAug2,FL,Invasive,54,2,WSM,none,none,NA,Alive,NA
8,StAug2,FL,Invasive,74,2,WSM,none,none,NA,Alive,NA
9,StAug2,FL,Invasive,48,2,WSM,none,none,NA,Dead,1
10,StAug2,FL,Invasive,3,2,WSM,none,none,NA,Dead,1
11,StAug2,FL,Invasive,28,2,WSM,none,none,NA,Dead,1
12,StAug2,FL,Invasive,66,2,WSM,none,none,NA,Dead,1
13,StAug2,FL,Invasive,96,3,Buffer,high,FL,Same,Dead,1
14,StAug2,FL,Invasive,19,3,Buffer,high,FL,Same,Dead,1
15,StAug2,FL,Invasive,36,3,Buffer,high,FL,Same,Dead,1
16,StAug2,FL,Invasive,20,3,Buffer,high,FL,Same,Dead,1
17,StAug2,FL,Invasive,90,3,Buffer,high,FL,Same,Dead,1
18,StAug2,FL,Invasive,32,3,Buffer,high,FL,Same,Dead,1
19,StAug2,FL,Invasive,68,4,Buffer,low,FL,Same,Dead,1
20,StAug2,FL,Invasive,82,4,Buffer,low,FL,Same,Alive,NA
21,StAug2,FL,Invasive,2,4,Buffer,low,FL,Same,Alive,NA
22,StAug2,FL,Invasive,61,4,Buffer,low,FL,Same,Alive,NA
23,StAug2,FL,Invasive,38,4,Buffer,low,FL,Same,Dead,6
24,StAug2,FL,Invasive,6,4,Buffer,low,FL,Same,Dead,6
25,StAug2,FL,Invasive,30,5,WSM,low,FL,Same,Dead,1
26,StAug2,FL,Invasive,112,5,WSM,low,FL,Same,Dead,1
27,StAug2,FL,Invasive,69,5,WSM,low,FL,Same,Alive,NA
28,StAug2,FL,Invasive,12,5,WSM,low,FL,Same,Dead,1
29,StAug2,FL,Invasive,25,5,WSM,low,FL,Same,Alive,NA
30,StAug2,FL,Invasive,56,5,WSM,low,FL,Same,Alive,NA
31,StAug2,FL,Invasive,75,6,WSM,high,FL,Same,Dead,1
32,StAug2,FL,Invasive,62,6,WSM,high,FL,Same,Dead,2
33,StAug2,FL,Invasive,35,6,WSM,high,FL,Same,Dead,1
