Pot_no,Location,Genotype,Treatment,Date,Label,N_or_I,final_weight (g)
26,France,W6 5326,WSM,5/27/15,Root,N,0.0228
27,France,W6 5326,WSM,5/27/15,Root,N,0.0118
30,France,W6 5326,Neg,5/27/15,Root,N,0.0018
55,Spain,PI 319034,WSM,5/27/15,Root,N,0.007
56,Spain,PI 319034,WSM,5/27/15,Root,N,0.0091
57,Spain,PI 319034,WSM,5/27/15,Root,N,0.0068
59,Spain,PI 319034,Neg,5/27/15,Root,N,0.0012
60,Spain,PI 319034,Neg,5/27/15,Root,N,0.0036
85,Portugal,PI 493293,WSM,5/27/15,Root,N,0.0031
86,Portugal,PI 493293,WSM,5/27/15,Root,N,0.0083
87,Portugal,PI 493293,WSM,5/27/15,Root,N,0.0107
88,Portugal,PI 493293,Neg,5/27/15,Root,N,0.0034
89,Portugal,PI 493293,Neg,5/27/15,Root,N,0.0035
90,Portugal,PI 493293,Neg,5/27/15,Root,N,0.0019
115,Spain,W6 5325,WSM,5/27/15,Root,N,0.0167
116,Spain,W6 5325,WSM,5/27/15,Root,N,0.0185
117,Spain,W6 5325,WSM,5/27/15,Root,N,0.0183
119,Spain,W6 5325,Neg,5/27/15,Root,N,0.004
120,Spain,W6 5325,Neg,5/27/15,Root,N,0.0044
145,Italy,W6 5595,WSM,5/27/15,Root,N,0.0188
146,Italy,W6 5595,WSM,5/27/15,Root,N,0.0189
147,Italy,W6 5595,WSM,5/27/15,Root,N,0.0155
148,Italy,W6 5595,Neg,5/27/15,Root,N,0.0134
149,Italy,W6 5595,Neg,5/27/15,Root,N,0.01
150,Italy,W6 5595,Neg,5/27/15,Root,N,0.0179
176,Malta,W6 5375,WSM,5/27/15,Root,N,0.0086
177,Malta,W6 5375,WSM,5/27/15,Root,N,0.0014
178,Malta,W6 5375,Neg,5/27/15,Root,N,0.0032
179,Malta,W6 5375,Neg,5/27/15,Root,N,0.0045
205,Australia,PI 197336,WSM,5/27/15,Root,I,0.0235
206,Australia,PI 197336,WSM,5/27/15,Root,I,0.0084
207,Australia,PI 197336,WSM,5/27/15,Root,I,0.0244
208,Australia,PI 197336,Neg,5/27/15,Root,I,0.0045
209,Australia,PI 197336,Neg,5/27/15,Root,I,0.0062
210,Australia,PI 197336,Neg,5/27/15,Root,I,0.0019
235,Australia,W6 5527,WSM,5/27/15,Root,I,0.0026
236,Australia,W6 5527,WSM,5/27/15,Root,I,0.0456
237,Australia,W6 5527,WSM,5/27/15,Root,I,0.0294
238,Australia,W6 5527,Neg,5/27/15,Root,I,0.0035
239,Australia,W6 5527,Neg,5/27/15,Root,I,0.0065
240,Australia,W6 5527,Neg,5/27/15,Root,I,0.0041
265,California,Mt. Wilson-4,WSM,5/27/15,Root,I,0.0082
266,California,Mt. Wilson-4,WSM,5/27/15,Root,I,0.0159
267,California,Mt. Wilson-4,WSM,5/27/15,Root,I,0.0087
295,Florida,Polatka-3,WSM,5/27/15,Root,I,0.0042
296,Florida,Polatka-3,WSM,5/27/15,Root,I,0.0137
297,Florida,Polatka-3,WSM,5/27/15,Root,I,0.0046
325,Chile,PI 368958,WSM,5/27/15,Root,I,0.002
326,Chile,PI 368958,WSM,5/27/15,Root,I,0.0044
327,Chile,PI 368958,WSM,5/27/15,Root,I,0.0053
329,Chile,PI 368958,Neg,5/27/15,Root,I,0.0041
330,Chile,PI 368958,Neg,5/27/15,Root,I,0.0057
355,Florida,St. Aug-13,WSM,5/27/15,Root,I,0.0014
356,Florida,St. Aug-13,WSM,5/27/15,Root,I,0.0019
357,Florida,St. Aug-13,WSM,5/27/15,Root,I,0.0007
176,Portugal,PI 493291,WSM,5/27/15,Root,N,0.0022
177,Portugal,PI 493291,WSM,5/27/15,Root,N,0.0113
