Pot_no,Location,Genotype,Treatment,Date,Label,N_or_I,final_weight (g)
26,France,W6 5326,WSM,5/27/15,Shoot,N,0.158
27,France,W6 5326,WSM,5/27/15,Shoot,N,0.0702
30,France,W6 5326,Neg,5/27/15,Shoot,N,0.006
55,Spain,PI 319034,WSM,5/27/15,Shoot,N,0.0813
56,Spain,PI 319034,WSM,5/27/15,Shoot,N,0.0346
57,Spain,PI 319034,WSM,5/27/15,Shoot,N,0.0089
59,Spain,PI 319034,Neg,5/27/15,Shoot,N,0.0087
60,Spain,PI 319034,Neg,5/27/15,Shoot,N,0.0044
85,Portugal,PI 493293,WSM,5/27/15,Shoot,N,0.0075
86,Portugal,PI 493293,WSM,5/27/15,Shoot,N,0.0215
87,Portugal,PI 493293,WSM,5/27/15,Shoot,N,0.01606
88,Portugal,PI 493293,Neg,5/27/15,Shoot,N,0.0092
89,Portugal,PI 493293,Neg,5/27/15,Shoot,N,0.0102
90,Portugal,PI 493293,Neg,5/27/15,Shoot,N,0.009
115,Spain,W6 5325,WSM,5/27/15,Shoot,N,0.1205
116,Spain,W6 5325,WSM,5/27/15,Shoot,N,0.146
117,Spain,W6 5325,WSM,5/27/15,Shoot,N,0.0702
119,Spain,W6 5325,Neg,5/27/15,Shoot,N,0.0141
120,Spain,W6 5325,Neg,5/27/15,Shoot,N,0.0106
145,Italy,W6 5595,WSM,5/27/15,Shoot,N,0.0933
146,Italy,W6 5595,WSM,5/27/15,Shoot,N,0.1483
147,Italy,W6 5595,WSM,5/27/15,Shoot,N,0.1009
148,Italy,W6 5595,Neg,5/27/15,Shoot,N,0.0223
149,Italy,W6 5595,Neg,5/27/15,Shoot,N,0.0102
150,Italy,W6 5595,Neg,5/27/15,Shoot,N,0.02
176,Malta,W6 5375,WSM,5/27/15,Shoot,N,0.1017
177,Malta,W6 5375,WSM,5/27/15,Shoot,N,0.115
178,Malta,W6 5375,Neg,5/27/15,Shoot,N,0.0122
179,Malta,W6 5375,Neg,5/27/15,Shoot,N,0.08
205,Australia,PI 197336,WSM,5/27/15,Shoot,I,0.164
206,Australia,PI 197336,WSM,5/27/15,Shoot,I,0.054
207,Australia,PI 197336,WSM,5/27/15,Shoot,I,0.2229
208,Australia,PI 197336,Neg,5/27/15,Shoot,I,0.009
209,Australia,PI 197336,Neg,5/27/15,Shoot,I,0.0108
210,Australia,PI 197336,Neg,5/27/15,Shoot,I,0.0094
235,Australia,W6 5527,WSM,5/27/15,Shoot,I,0.0107
236,Australia,W6 5527,WSM,5/27/15,Shoot,I,0.1257
237,Australia,W6 5527,WSM,5/27/15,Shoot,I,0.1634
238,Australia,W6 5527,Neg,5/27/15,Shoot,I,0.0001
239,Australia,W6 5527,Neg,5/27/15,Shoot,I,0.006
240,Australia,W6 5527,Neg,5/27/15,Shoot,I,0.0093
265,California,Mt. Wilson-4,WSM,5/27/15,Shoot,I,0.0175
266,California,Mt. Wilson-4,WSM,5/27/15,Shoot,I,0.0915
267,California,Mt. Wilson-4,WSM,5/27/15,Shoot,I,0.0455
295,Florida,Polatka-3,WSM,5/27/15,Shoot,I,0.027
296,Florida,Polatka-3,WSM,5/27/15,Shoot,I,0.1173
297,Florida,Polatka-3,WSM,5/27/15,Shoot,I,0.0137
325,Chile,PI 368958,WSM,5/27/15,Shoot,I,0.0055
326,Chile,PI 368958,WSM,5/27/15,Shoot,I,0.0105
327,Chile,PI 368958,WSM,5/27/15,Shoot,I,0.027
329,Chile,PI 368958,Neg,5/27/15,Shoot,I,0.0052
330,Chile,PI 368958,Neg,5/27/15,Shoot,I,0.006
355,Florida,St. Aug-13,WSM,5/27/15,Shoot,I,0.0085
356,Florida,St. Aug-13,WSM,5/27/15,Shoot,I,0.0041
357,Florida,St. Aug-13,WSM,5/27/15,Shoot,I,0.0025
176,Portugal,PI 493291,WSM,5/27/15,Shoot,N,0.0084
177,Portugal,PI 493291,WSM,5/27/15,Shoot,N,0.0012
