Pot #,Location,Genotype,Treatment,Dead_0,Treat
206,Australia,PI 197336,Rhizobia,1,WSM
84,Portugal,PI 493293,FL-StAug1,0,Soil
314,Chile,PI 368958,FL-UF4,0,Soil
290,Florida,Polatka-3,FL-Rivercrest2,0,Soil
155,Portugal,PI 493291,PT-CMNS4,0,Soil
252,California,Mt. Wilson-4,PT-Frizeta2,1,Soil
333,Florida,St. Aug-13,PT-MRMtr1,0,Soil
303,Chile,PI 368958,PT-MRMtr1,0,Soil
320,Chile,PI 368958,FL-Rivercrest2,0,Soil
338,Florida,St. Aug-13,PT-GilNS2,0,Soil
120,Spain,W6 5325,Buffer,1,Buffer
196,Australia,PI 197336,FL-Polatka1,0,Soil
114,Spain,W6 5325,FL-StAug1,0,Soil
188,Australia,PI 197336,PT-GilNS2,0,Soil
63,Portugal,PI 493293,PT-MRMtr1,0,Soil
249,California,Mt. Wilson-4,PT-GilNS2,0,Soil
64,Portugal,PI 493293,PT-CMNS4,0,Soil
301,Chile,PI 368958,PT-MRMtr1,0,Soil
254,California,Mt. Wilson-4,FL-UF4,0,Soil
85,Portugal,PI 493293,Rhizobia,1,WSM
263,California,Mt. Wilson-4,FL-StAug1,0,Soil
359,Florida,St. Aug-13,Buffer,1,Buffer
358,Florida,St. Aug-13,Buffer,1,Buffer
225,Australia,W6 5527,FL-UF4,0,Soil
218,Australia,W6 5527,PT-GilNS2,0,Soil
42,Spain,PI 319034,PT-Frizeta2,0,Soil
253,California,Mt. Wilson-4,FL-UF4,0,Soil
331,Florida,St. Aug-13,PT-MRMtr1,0,Soil
325,Chile,PI 368958,Rhizobia,1,WSM
306,Chile,PI 368958,PT-CMNS4,0,Soil
9,France ,W6 5326,PT-GilNS2,0,Soil
5,France ,W6 5326,PT-CMNS4,0,Soil
129,Italy,W6 5595,PT-GilNS2,0,Soil
256,California,Mt. Wilson-4,FL-Polatka1,0,Soil
38,Spain,PI 319034,PT-GilNS2,0,Soil
326,Chile,PI 368958,Rhizobia,1,WSM
300,Florida,Polatka-3,Buffer,1,Buffer
223,Australia,W6 5527,FL-UF4,1,Soil
305,Chile,PI 368958,PT-CMNS4,1,Soil
27,France ,W6 5326,Rhizobia,1,WSM
106,Spain,W6 5325,FL-Polatka1,1,Soil
83,Portugal,PI 493293,FL-StAug1,0,Soil
18,France ,W6 5326,FL-Polatka1,0,Soil
112,Spain,W6 5325,FL-StAug1,0,Soil
170,Portugal,PI 493291,FL-Rivercrest2,0,Soil
