Pot..,Location,Genotype,Treatment,Dead_0,Treat,ShootWeight,RootWeight,NodWeight,NodNum,Shoot_Root,Range
1,France ,W6 5326,PT-MRMtr1,0,Soil,NA,NA,NA,NA,NA,Native
2,France ,W6 5326,PT-MRMtr1,0,Soil,NA,NA,NA,NA,NA,Native
3,France ,W6 5326,PT-MRMtr1,0,Soil,NA,NA,NA,NA,NA,Native
4,France ,W6 5326,PT-CMNS4,0,Soil,NA,NA,NA,NA,NA,Native
5,France ,W6 5326,PT-CMNS4,0,Soil,NA,NA,NA,NA,NA,Native
6,France ,W6 5326,PT-CMNS4,0,Soil,NA,NA,NA,NA,NA,Native
7,France ,W6 5326,PT-GilNS2,0,Soil,NA,NA,NA,NA,NA,Native
8,France ,W6 5326,PT-GilNS2,0,Soil,NA,NA,NA,NA,NA,Native
9,France ,W6 5326,PT-GilNS2,0,Soil,NA,NA,NA,NA,NA,Native
10,France ,W6 5326,PT-Frizeta2,1,Soil,NA,NA,NA,NA,NA,Native
11,France ,W6 5326,PT-Frizeta2,0,Soil,NA,NA,NA,NA,NA,Native
12,France ,W6 5326,PT-Frizeta2,1,Soil,NA,NA,NA,NA,NA,Native
13,France ,W6 5326,FL-UF4,0,Soil,NA,NA,NA,NA,NA,Native
14,France ,W6 5326,FL-UF4,0,Soil,NA,NA,NA,NA,NA,Native
15,France ,W6 5326,FL-UF4,0,Soil,NA,NA,NA,NA,NA,Native
16,France ,W6 5326,FL-Polatka1,0,Soil,NA,NA,NA,NA,NA,Native
17,France ,W6 5326,FL-Polatka1,0,Soil,NA,NA,NA,NA,NA,Native
18,France ,W6 5326,FL-Polatka1,0,Soil,NA,NA,NA,NA,NA,Native
19,France ,W6 5326,FL-Rivercrest2,0,Soil,NA,NA,NA,NA,NA,Native
20,France ,W6 5326,FL-Rivercrest2,0,Soil,NA,NA,NA,NA,NA,Native
21,France ,W6 5326,FL-Rivercrest2,0,Soil,NA,NA,NA,NA,NA,Native
22,France ,W6 5326,FL-StAug1,0,Soil,NA,NA,NA,NA,NA,Native
23,France ,W6 5326,FL-StAug1,0,Soil,NA,NA,NA,NA,NA,Native
24,France ,W6 5326,FL-StAug1,0,Soil,NA,NA,NA,NA,NA,Native
25,France ,W6 5326,Rhizobia,0,WSM,NA,NA,NA,NA,NA,Native
26,France ,W6 5326,Rhizobia,1,WSM,0.158,0.0228,0.0025,14,6.929824561,Native
27,France ,W6 5326,Rhizobia,1,WSM,0.0702,0.0118,0.0012,19,5.949152542,Native
28,France ,W6 5326,Buffer,1,Buffer,NA,NA,NA,NA,NA,Native
29,France ,W6 5326,Buffer,1,Buffer,NA,NA,NA,NA,NA,Native
